,Date,Count
1,April 10th 2013,9
2,April 11th 2013,5
3,April 12th 2013,11
4,April 13th 2013,3
5,April 14th 2013,7
6,April 15th 2013,9
7,April 16th 2013,12
8,April 17th 2013,15
9,April 18th 2013,9
10,April 19th 2013,11
11,April 1st 2013,5
12,April 20th 2013,10
13,April 21st 2013,3
14,April 22nd 2013,9
15,April 23rd 2013,9
16,April 24th 2013,13
17,April 25th 2013,9
18,April 26th 2013,9
19,April 27th 2013,4
20,April 28th 2013,7
21,April 29th 2013,9
22,April 2nd 2013,9
23,April 30th 2013,15
24,April 3rd 2013,6
25,April 4th 2013,11
26,April 5th 2013,5
27,April 6th 2013,5
28,April 7th 2013,2
29,April 8th 2013,5
30,April 9th 2013,20
31,August 10th 2013,6
32,August 11th 2013,7
33,August 12th 2013,18
34,August 13th 2013,6
35,August 14th 2013,13
36,August 15th 2013,9
37,August 16th 2013,13
38,August 17th 2013,7
39,August 18th 2013,1
40,August 19th 2013,9
41,August 1st 2013,11
42,August 20th 2013,7
43,August 21st 2013,7
44,August 22nd 2013,2
45,August 23rd 2013,13
46,August 24th 2013,5
47,August 25th 2013,2
48,August 26th 2013,12
49,August 27th 2013,13
50,August 28th 2013,5
51,August 29th 2013,15
52,August 2nd 2013,10
53,August 30th 2013,14
54,August 31st 2013,12
55,August 3rd 2013,6
56,August 4th 2013,2
57,August 5th 2013,7
58,August 6th 2013,11
59,August 7th 2013,16
60,August 8th 2013,9
61,August 9th 2013,14
62,December 10th 2013,14
63,December 11th 2013,22
64,December 12th 2013,12
65,December 13th 2013,11
66,December 14th 2013,40
67,December 15th 2013,5
68,December 16th 2013,26
69,December 17th 2013,15
70,December 18th 2013,18
71,December 19th 2013,8
72,December 1st 2013,5
73,December 20th 2013,8
74,December 21st 2013,7
75,December 22nd 2013,3
76,December 23rd 2013,7
77,December 24th 2013,5
78,December 25th 2013,4
79,December 26th 2013,12
80,December 27th 2013,5
81,December 28th 2013,2
82,December 29th 2013,1
83,December 2nd 2013,14
84,December 30th 2013,2
85,December 31st 2013,4
86,December 3rd 2013,9
87,December 4th 2013,9
88,December 5th 2013,13
89,December 6th 2013,17
90,December 7th 2013,5
91,December 8th 2013,7
92,December 9th 2013,16
93,February 10th 2013,4
94,February 11th 2013,5
95,February 12th 2013,10
96,February 13th 2013,5
97,February 14th 2013,8
98,February 15th 2013,8
99,February 16th 2013,13
100,February 17th 2013,7
101,February 18th 2013,7
102,February 19th 2013,14
103,February 1st 2013,18
104,February 20th 2013,3
105,February 21st 2013,8
106,February 22nd 2013,17
107,February 23rd 2013,3
108,February 24th 2013,7
109,February 25th 2013,8
110,February 26th 2013,26
111,February 27th 2013,9
112,February 28th 2013,14
113,February 2nd 2013,18
114,February 3rd 2013,4
115,February 4th 2013,4
116,February 5th 2013,10
117,February 6th 2013,9
118,February 7th 2013,8
119,February 8th 2013,15
120,February 9th 2013,7
121,January 10th 2013,2
122,January 11th 2013,7
123,January 12th 2013,10
124,January 13th 2013,3
125,January 14th 2013,2
126,January 15th 2013,11
127,January 16th 2013,7
128,January 17th 2013,7
129,January 18th 2013,14
130,January 19th 2013,4
131,January 1st 2013,3
132,January 20th 2013,2
133,January 21st 2013,24
134,January 22nd 2013,14
135,January 23rd 2013,18
136,January 24th 2013,17
137,January 25th 2013,28
138,January 26th 2013,8
139,January 27th 2013,10
140,January 28th 2013,8
141,January 29th 2013,9
142,January 2nd 2013,6
143,January 30th 2013,13
144,January 31st 2013,45
145,January 3rd 2013,12
146,January 4th 2013,6
147,January 5th 2013,4
148,January 6th 2013,6
149,January 7th 2013,7
150,January 8th 2013,10
151,January 9th 2013,12
152,July 10th 2013,5
153,July 11th 2013,7
154,July 12th 2013,10
155,July 13th 2013,8
156,July 14th 2013,5
157,July 15th 2013,8
158,July 16th 2013,8
159,July 17th 2013,10
160,July 18th 2013,14
161,July 19th 2013,12
162,July 1st 2013,11
163,July 20th 2013,7
164,July 21st 2013,4
165,July 22nd 2013,7
166,July 23rd 2013,12
167,July 24th 2013,10
168,July 25th 2013,11
169,July 26th 2013,7
170,July 27th 2013,7
171,July 28th 2013,5
172,July 29th 2013,6
173,July 2nd 2013,12
174,July 30th 2013,10
175,July 31st 2013,14
176,July 3rd 2013,5
177,July 4th 2013,2
178,July 5th 2013,4
179,July 6th 2013,7
180,July 7th 2013,7
181,July 8th 2013,10
182,July 9th 2013,14
183,June 10th 2013,20
184,June 11th 2013,8
185,June 12th 2013,9
186,June 13th 2013,8
187,June 14th 2013,15
188,June 15th 2013,5
189,June 16th 2013,9
190,June 17th 2013,7
191,June 18th 2013,11
192,June 19th 2013,16
193,June 1st 2013,8
194,June 20th 2013,15
195,June 21st 2013,8
196,June 22nd 2013,7
197,June 23rd 2013,4
198,June 24th 2013,9
199,June 25th 2013,16
200,June 26th 2013,9
201,June 27th 2013,21
202,June 28th 2013,12
203,June 29th 2013,4
204,June 2nd 2013,2
205,June 30th 2013,3
206,June 3rd 2013,7
207,June 4th 2013,16
208,June 5th 2013,9
209,June 6th 2013,10
210,June 7th 2013,6
211,June 8th 2013,5
212,June 9th 2013,5
213,March 10th 2013,1
214,March 11th 2013,14
215,March 12th 2013,7
216,March 13th 2013,14
217,March 14th 2013,8
218,March 15th 2013,5
219,March 16th 2013,8
220,March 17th 2013,5
221,March 18th 2013,8
222,March 19th 2013,7
223,March 1st 2013,7
224,March 20th 2013,3
225,March 21st 2013,9
226,March 22nd 2013,7
227,March 23rd 2013,11
228,March 24th 2013,3
229,March 25th 2013,11
230,March 26th 2013,8
231,March 27th 2013,13
232,March 28th 2013,4
233,March 29th 2013,9
234,March 2nd 2013,8
235,March 30th 2013,3
236,March 31st 2013,2
237,March 3rd 2013,3
238,March 4th 2013,5
239,March 5th 2013,9
240,March 6th 2013,8
241,March 7th 2013,7
242,March 8th 2013,6
243,March 9th 2013,3
244,May 10th 2013,10
245,May 11th 2013,8
246,May 12th 2013,3
247,May 13th 2013,10
248,May 14th 2013,9
249,May 15th 2013,11
250,May 16th 2013,15
251,May 17th 2013,9
252,May 18th 2013,3
253,May 19th 2013,4
254,May 1st 2013,16
255,May 20th 2013,11
256,May 21st 2013,13
257,May 22nd 2013,13
258,May 23rd 2013,19
259,May 24th 2013,2
260,May 25th 2013,7
261,May 26th 2013,1
262,May 27th 2013,2
263,May 28th 2013,10
264,May 29th 2013,15
265,May 2nd 2013,10
266,May 30th 2013,9
267,May 31st 2013,13
268,May 3rd 2013,21
269,May 4th 2013,7
270,May 5th 2013,4
271,May 6th 2013,13
272,May 7th 2013,5
273,May 8th 2013,8
274,May 9th 2013,9
275,November 10th 2013,4
276,November 11th 2013,17
277,November 12th 2013,11
278,November 13th 2013,7
279,November 14th 2013,11
280,November 15th 2013,9
281,November 16th 2013,2
282,November 17th 2013,13
283,November 18th 2013,10
284,November 19th 2013,12
285,November 1st 2013,11
286,November 20th 2013,5
287,November 21st 2013,29
288,November 22nd 2013,14
289,November 23rd 2013,41
290,November 24th 2013,9
291,November 25th 2013,14
292,November 26th 2013,15
293,November 27th 2013,10
294,November 28th 2013,3
295,November 29th 2013,7
296,November 2nd 2013,4
297,November 30th 2013,6
298,November 3rd 2013,10
299,November 4th 2013,10
300,November 5th 2013,16
301,November 6th 2013,18
302,November 7th 2013,20
303,November 8th 2013,15
304,November 9th 2013,13
305,October 10th 2013,18
306,October 11th 2013,24
307,October 12th 2013,7
308,October 13th 2013,4
309,October 14th 2013,9
310,October 15th 2013,8
311,October 16th 2013,9
312,October 17th 2013,19
313,October 18th 2013,14
314,October 19th 2013,21
315,October 1st 2013,6
316,October 20th 2013,6
317,October 21st 2013,6
318,October 22nd 2013,7
319,October 23rd 2013,7
320,October 24th 2013,16
321,October 25th 2013,15
322,October 26th 2013,10
323,October 27th 2013,3
324,October 28th 2013,9
325,October 29th 2013,4
326,October 2nd 2013,9
327,October 30th 2013,7
328,October 31st 2013,18
329,October 3rd 2013,6
330,October 4th 2013,20
331,October 5th 2013,10
332,October 6th 2013,13
333,October 7th 2013,13
334,October 8th 2013,11
335,October 9th 2013,10
336,September 10th 2013,8
337,September 11th 2013,6
338,September 12th 2013,9
339,September 13th 2013,8
340,September 14th 2013,19
341,September 15th 2013,2
342,September 16th 2013,7
343,September 17th 2013,4
344,September 18th 2013,11
345,September 19th 2013,8
346,September 1st 2013,7
347,September 20th 2013,14
348,September 21st 2013,10
349,September 22nd 2013,12
350,September 23rd 2013,7
351,September 24th 2013,18
352,September 25th 2013,4
353,September 26th 2013,14
354,September 27th 2013,13
355,September 28th 2013,7
356,September 29th 2013,13
357,September 2nd 2013,6
358,September 30th 2013,15
359,September 3rd 2013,13
360,September 4th 2013,13
361,September 5th 2013,16
362,September 6th 2013,16
363,September 7th 2013,8
364,September 8th 2013,4
365,September 9th 2013,6
